"participant","seed","sort","image","final_img_pos","posX","posY","subject","subjCode","Age","Gender","age_bin","age_group","image_cat","image_tax_cat"
"126",26,"Practice","bird","[-357. -223.]",-357,-223,"p126",126,4.916666667,"F","4 to 5","kids","bird","animal"
"126",26,"Practice","table","[  72. -223.]",72,-223,"p126",126,4.916666667,"F","4 to 5","kids","table","furniture"
"126",26,"Practice","car","[ 358. -223.]",358,-223,"p126",126,4.916666667,"F","4 to 5","kids","car","vehicle"
"126",26,"Practice","bus","[ 501. -223.]",501,-223,"p126",126,4.916666667,"F","4 to 5","kids","bus","vehicle"
"126",26,"Practice","squirrel","[-214. -223.]",-214,-223,"p126",126,4.916666667,"F","4 to 5","kids","squirrel","animal"
"126",26,"Sort1","M07exc_c","[-357.  -74.]",-357,-74,"p126",126,4.916666667,"F","4 to 5","kids","exc","exc"
"126",26,"Sort1","M07neut_c","[-71. -74.]",-71,-74,"p126",126,4.916666667,"F","4 to 5","kids","neut","neut"
"126",26,"Sort1","M07disg_o","[ 501.  -74.]",501,-74,"p126",126,4.916666667,"F","4 to 5","kids","disg","disg"
"126",26,"Sort1","M07hap_c","[-214.  -74.]",-214,-74,"p126",126,4.916666667,"F","4 to 5","kids","hap","hap"
"126",26,"Sort1","M07disg_c","[ 358.  -74.]",358,-74,"p126",126,4.916666667,"F","4 to 5","kids","disg","disg"
"126",26,"Sort1","M07neut_o","[ 72. -74.]",72,-74,"p126",126,4.916666667,"F","4 to 5","kids","neut","neut"
"126",26,"Sort1","M07sad_c","[  72. -372.]",72,-372,"p126",126,4.916666667,"F","4 to 5","kids","sad","sad"
"126",26,"Sort1","M07surp_c","[ 215.  -74.]",215,-74,"p126",126,4.916666667,"F","4 to 5","kids","surp","surp"
"126",26,"Sort1","M07hap_o","[-500. -372.]",-500,-372,"p126",126,4.916666667,"F","4 to 5","kids","hap","hap"
"126",26,"Sort1","M07ang_c","[ 644. -372.]",644,-372,"p126",126,4.916666667,"F","4 to 5","kids","ang","ang"
"126",26,"Sort1","M07fear_c","[-500.  224.]",-500,224,"p126",126,4.916666667,"F","4 to 5","kids","fear","fear"
"126",26,"Sort1","M07exc_o","[-214. -372.]",-214,-372,"p126",126,4.916666667,"F","4 to 5","kids","exc","exc"
"126",26,"Sort1","M07fear_o","[ -71. -372.]",-71,-372,"p126",126,4.916666667,"F","4 to 5","kids","fear","fear"
"126",26,"Sort1","M07ang_o","[ 501. -372.]",501,-372,"p126",126,4.916666667,"F","4 to 5","kids","ang","ang"
"126",26,"Sort1","M07calm_o","[-643. -372.]",-643,-372,"p126",126,4.916666667,"F","4 to 5","kids","calm","calm"
"126",26,"Sort1","M07calm_c","[ 358. -372.]",358,-372,"p126",126,4.916666667,"F","4 to 5","kids","calm","calm"
"126",26,"Sort1","M07surp_o","[ -71. -223.]",-71,-223,"p126",126,4.916666667,"F","4 to 5","kids","surp","surp"
"126",26,"Sort1","M07sad_o","[ 215. -372.]",215,-372,"p126",126,4.916666667,"F","4 to 5","kids","sad","sad"
"126",26,"Sort2","F10disg_o","[-643.  373.]",-643,373,"p126",126,4.916666667,"F","4 to 5","kids","disg","disg"
"126",26,"Sort2","F14surp_c","[ 644.  373.]",644,373,"p126",126,4.916666667,"F","4 to 5","kids","surp","surp"
"126",26,"Sort2","M12hap_o","[-643. -372.]",-643,-372,"p126",126,4.916666667,"F","4 to 5","kids","hap","hap"
"126",26,"Sort2","M05exc_c","[ 644. -372.]",644,-372,"p126",126,4.916666667,"F","4 to 5","kids","exc","exc"
"126",26,"Sort2","F07neut_c","[ 644.  224.]",644,224,"p126",126,4.916666667,"F","4 to 5","kids","neut","neut"
"126",26,"Sort2","F01fear_c","[-643.  224.]",-643,224,"p126",126,4.916666667,"F","4 to 5","kids","fear","fear"
"126",26,"Sort2","F22sad_c","[ 644.   75.]",644,75,"p126",126,4.916666667,"F","4 to 5","kids","sad","sad"
"126",26,"Sort2","M08fear_o","[ 358.  -74.]",358,-74,"p126",126,4.916666667,"F","4 to 5","kids","fear","fear"
"126",26,"Sort2","M04disg_c","[-500.  373.]",-500,373,"p126",126,4.916666667,"F","4 to 5","kids","disg","disg"
"126",26,"Sort2","F17calm_o","[-357.  373.]",-357,373,"p126",126,4.916666667,"F","4 to 5","kids","calm","calm"
"126",26,"Sort2","M02ang_c","[-214.  373.]",-214,373,"p126",126,4.916666667,"F","4 to 5","kids","ang","ang"
"126",26,"Sort2","M03calm_c","[ 358.  373.]",358,373,"p126",126,4.916666667,"F","4 to 5","kids","calm","calm"
"126",26,"Sort2","F13exc_o","[ -71.  373.]",-71,373,"p126",126,4.916666667,"F","4 to 5","kids","exc","exc"
"126",26,"Sort2","F04ang_o","[  72.  373.]",72,373,"p126",126,4.916666667,"F","4 to 5","kids","ang","ang"
"126",26,"Sort2","M14neut_o","[ 215.  373.]",215,373,"p126",126,4.916666667,"F","4 to 5","kids","neut","neut"
