"age_bin","full_model_rsq","minus_model_name","delta_rsq","delta_rsq_lower","delta_rsq_upper"
"4 to 5",0.130024184898668,"dist_valence",0.0944500907111835,0.0456449553990054,0.154301301173307
"4 to 5",0.130024184898668,"dist_arousal",0.0652467793553523,0.0239771106179188,0.122346335983551
"4 to 5",0.130024184898668,"emotion_pair_same",7.57968364444973e-05,3.21406049881077e-06,0.0182336578668278
"6 to 7",0.461355014110129,"dist_valence",0.374657890574754,0.309595457988512,0.439682191927076
"6 to 7",0.461355014110129,"dist_arousal",0.025984613843863,0.00620129479218034,0.0575098082392139
"6 to 7",0.461355014110129,"emotion_pair_same",0.0235401833301924,0.00535126584141905,0.0535969669837486
"5 to 6",0.312702338321262,"dist_valence",0.263441572307167,0.192648109095985,0.338907843765485
"5 to 6",0.312702338321262,"dist_arousal",0.0227063592619892,0.0053418778442357,0.0529568751588378
"5 to 6",0.312702338321262,"emotion_pair_same",0.01126063530616,0.000498253840128492,0.036665936313912
"3 to 4",0.0130499590076239,"dist_valence",0.00911994073134925,4.1585300310115e-05,0.0443888764639737
"3 to 4",0.0130499590076239,"dist_arousal",0.00407141298158544,1.00336261407459e-05,0.0318753817676255
"3 to 4",0.0130499590076239,"emotion_pair_same",0.000994872526745673,6.25735969032372e-06,0.0278598592933973
"adults",0.781691250948256,"dist_valence",0.652389647592464,0.586800327015258,0.711086194836526
"adults",0.781691250948256,"dist_arousal",0.0105978974560518,0.00295360325695217,0.0232556218954557
"adults",0.781691250948256,"emotion_pair_same",0.0200096192948304,0.00708484246853079,0.0392083016699319
