"items","item1","item2","emotion_pair_same","shared_category","category_pair","pos_1","neg_1","ESG_type_1","arousal_1","valence_1","val_type_1","sort","image_cat_1","mouth_1","actor_gender_1","pos_2","neg_2","ESG_type_2","arousal_2","valence_2","val_type_2","image_cat_2","mouth_2","actor_gender_2","dist_valence","dist_arousal","dist_pos","dist_neg"
"M07exc_c-M07neut_c","M07exc_c","M07neut_c",0,"between","between",2.92156862745098,0.431372549019608,"pol_pos",5.45098039215686,6.13725490196078,"pol_pos","Sort1","exc","c","M",0.941176470588235,1.45098039215686,"indifferent",2.86274509803922,3.84313725490196,"indifferent","neut","c","M",2.29411764705882,2.58823529411764,1.98039215686274,1.01960784313725
"M07disg_o-M07exc_c","M07disg_o","M07exc_c",0,"between","between",0.549019607843137,2.70588235294118,"pol_neg",4.76470588235294,2.25490196078431,"pol_neg","Sort1","disg","o","M",2.92156862745098,0.431372549019608,"pol_pos",5.45098039215686,6.13725490196078,"pol_pos","exc","c","M",3.88235294117647,0.68627450980392,2.37254901960784,2.27450980392157
"M07exc_c-M07hap_c","M07exc_c","M07hap_c",0,"between","between",2.92156862745098,0.431372549019608,"pol_pos",5.45098039215686,6.13725490196078,"pol_pos","Sort1","exc","c","M",2.33333333333333,0.764705882352941,"pol_pos",4.68627450980392,5.82352941176471,"pol_pos","hap","c","M",0.31372549019607,0.76470588235294,0.58823529411765,0.333333333333333
"M07disg_c-M07exc_c","M07disg_c","M07exc_c",0,"between","between",0.176470588235294,3.15686274509804,"pol_neg",4.01960784313725,1.68627450980392,"pol_neg","Sort1","disg","c","M",2.92156862745098,0.431372549019608,"pol_pos",5.45098039215686,6.13725490196078,"pol_pos","exc","c","M",4.45098039215686,1.43137254901961,2.74509803921569,2.72549019607843
"M07exc_c-M07neut_o","M07exc_c","M07neut_o",0,"between","between",2.92156862745098,0.431372549019608,"pol_pos",5.45098039215686,6.13725490196078,"pol_pos","Sort1","exc","c","M",0.784313725490196,1.62745098039216,"indifferent",3.07843137254902,3.37254901960784,"indifferent","neut","o","M",2.76470588235294,2.37254901960784,2.13725490196078,1.19607843137255
"M07exc_c-M07sad_c","M07exc_c","M07sad_c",0,"between","between",2.92156862745098,0.431372549019608,"pol_pos",5.45098039215686,6.13725490196078,"pol_pos","Sort1","exc","c","M",0.235294117647059,2.64705882352941,"pol_neg",3.76470588235294,1.88235294117647,"pol_neg","sad","c","M",4.25490196078431,1.68627450980392,2.68627450980392,2.2156862745098
"M07exc_c-M07surp_c","M07exc_c","M07surp_c",0,"between","between",2.92156862745098,0.431372549019608,"pol_pos",5.45098039215686,6.13725490196078,"pol_pos","Sort1","exc","c","M",1.3921568627451,0.980392156862745,"indifferent",4.33333333333333,4.41176470588235,"indifferent","surp","c","M",1.72549019607843,1.11764705882353,1.52941176470588,0.549019607843137
"M07exc_c-M07hap_o","M07exc_c","M07hap_o",0,"between","between",2.92156862745098,0.431372549019608,"pol_pos",5.45098039215686,6.13725490196078,"pol_pos","Sort1","exc","c","M",3.11764705882353,0.392156862745098,"pol_pos",5.45098039215686,6.49019607843137,"pol_pos","hap","o","M",0.35294117647059,0,0.19607843137255,0.03921568627451
"M07ang_c-M07exc_c","M07ang_c","M07exc_c",0,"between","between",0.352941176470588,2.94117647058824,"pol_neg",4.23529411764706,2.13725490196078,"pol_neg","Sort1","ang","c","M",2.92156862745098,0.431372549019608,"pol_pos",5.45098039215686,6.13725490196078,"pol_pos","exc","c","M",4,1.2156862745098,2.56862745098039,2.50980392156863
"M07exc_c-M07fear_c","M07exc_c","M07fear_c",0,"between","between",2.92156862745098,0.431372549019608,"pol_pos",5.45098039215686,6.13725490196078,"pol_pos","Sort1","exc","c","M",0.588235294117647,1.66666666666667,"indifferent",4.07843137254902,3.2156862745098,"indifferent","fear","c","M",2.92156862745098,1.37254901960784,2.33333333333333,1.23529411764706
