"participant","image","valence","arousal","positivity","negativity"
"901","M07fear_o",3,6,2,2
"901","M17sad_o",3,3,1,3
"901","M07calm_c",5,5,3,1
"901","M05exc_c",7,6,4,0
"901","M07surp_c",4,5,3,1
"901","M07exc_c",6,6,4,0
"901","M07surp_o",7,7,4,0
"901","M07ang_c",1,4,1,3
"901","M04disg_c",1,4,0,4
"901","M07calm_o",5,5,2,2
"901","M07sad_c",2,3,1,3
"901","M15surp_o",4,7,2,2
"901","F15hap_c",5,5,3,1
"901","M14neut_o",4,3,2,1
"901","M03calm_c",5,3,2,2
"901","F22sad_c",3,2,1,3
"901","M07neut_o",4,2,2,2
"901","M07exc_o",5,6,3,1
"901","M07fear_c",3,4,2,2
"901","M02ang_c",3,4,1,3
"901","F07neut_c",4,2,1,3
"901","F17calm_o",6,3,3,1
"901","M07neut_c",3,3,1,3
"901","F14surp_c",4,5,2,2
"901","F13exc_o",6,6,4,0
"901","F01fear_c",3,4,2,2
"901","M07ang_o",4,4,1,3
"901","M07disg_c",2,4,1,3
"901","M07hap_o",7,6,4,0
"901","M08fear_o",3,5,1,3
"901","F10disg_o",2,4,1,3
"901","M07sad_o",2,5,1,3
"901","F04ang_o",3,5,0,4
"901","M07hap_c",5,5,3,1
"901","M12hap_o",5,5,3,1
"901","M07disg_o",3,4,1,3
"902","M07fear_o",2,5,0,2
"902","M07fear_c",3,5,0,1
"902","M07calm_c",5,4,0,0
"902","M03calm_c",4,4,0,0
"902","F10disg_o",2,6,0,3
"902","M07surp_o",7,6,2,0
"902","M07exc_c",6,2,3,0
"902","M02ang_c",2,6,0,3
"902","M08fear_o",3,4,0,0
"902","M07surp_c",4,5,1,0
"902","M14neut_o",4,4,0,0
"902","M07sad_c",2,5,0,3
"902","F07neut_c",4,4,0,2
"902","M17sad_o",3,5,0,1
"902","F01fear_c",4,5,0,1
"902","M07ang_o",2,5,0,4
"902","M07disg_o",4,6,0,3
"902","M07neut_o",4,4,0,0
"902","F22sad_c",3,5,0,1
"902","F14surp_c",4,5,0,2
"902","M12hap_o",5,3,3,0
"902","M07hap_c",6,3,2,0
"902","F17calm_o",5,3,1,0
"902","F13exc_o",7,5,3,0
"902","M07ang_c",2,5,0,3
"902","M07sad_o",2,5,0,2
"902","M15surp_o",3,6,0,0
"902","M07exc_o",4,6,1,0
"902","F04ang_o",1,7,0,4
"902","M07calm_o",5,2,2,0
"902","M07hap_o",7,1,4,0
"902","M07neut_c",4,4,0,0
"902","M07disg_c",1,6,0,1
"902","M04disg_c",2,5,0,2
"902","M05exc_c",6,2,3,0
"902","F15hap_c",6,3,1,0
"903","M07neut_o",2,3,2,2
"903","F10disg_o",1,1,0,4
"903","M14neut_o",3,2,1,2
"903","M04disg_c",2,2,0,3
"903","F14surp_c",1,1,0,4
