"sample_index","age_bin","age_group","sort","sort_name","N","average_dist","ci_dist"
1,"3 to 4","kids","Sort1","Same Individual",21,0.0461567277377786,0.0440923679763093
1,"3 to 4","kids","Sort2","Different Individuals",21,-0.0068607271536379,0.0351234928102213
1,"4 to 5","kids","Sort1","Same Individual",34,0.00284509337557981,0.0429109442723041
1,"4 to 5","kids","Sort2","Different Individuals",33,0.0155336554035462,0.0365450558081134
1,"5 to 6","kids","Sort1","Same Individual",28,0.0587076200347642,0.049540957501637
1,"5 to 6","kids","Sort2","Different Individuals",28,0.0734686625141842,0.0431815177303974
1,"6 to 7","kids","Sort1","Same Individual",23,0.0896752699974074,0.0349967849053495
1,"6 to 7","kids","Sort2","Different Individuals",23,0.151362456060453,0.0560888963594267
1,"adults","adults","Sort1","Same Individual",40,0.173875924540793,0.0279422895366569
1,"adults","adults","Sort2","Different Individuals",40,0.198976093423805,0.0342018308839806
2,"3 to 4","kids","Sort1","Same Individual",21,0.024387851229393,0.053389176913706
2,"3 to 4","kids","Sort2","Different Individuals",21,-0.000709510008721106,0.0366011278843113
2,"4 to 5","kids","Sort1","Same Individual",34,0.00479774078795126,0.0411995988943544
2,"4 to 5","kids","Sort2","Different Individuals",33,0.0161159213561377,0.0358184445697133
2,"5 to 6","kids","Sort1","Same Individual",28,0.0722413995708397,0.0411651286268164
2,"5 to 6","kids","Sort2","Different Individuals",28,0.0555338018753994,0.0447490623752598
2,"6 to 7","kids","Sort1","Same Individual",23,0.0878227838488417,0.0546737488882775
2,"6 to 7","kids","Sort2","Different Individuals",23,0.136705832572308,0.0545181715942724
2,"adults","adults","Sort1","Same Individual",40,0.183206099284517,0.0271041783331301
2,"adults","adults","Sort2","Different Individuals",40,0.19532281845224,0.0350876041584128
3,"3 to 4","kids","Sort1","Same Individual",21,0.0458836979410139,0.0493902716557905
3,"3 to 4","kids","Sort2","Different Individuals",21,0.0148254530481862,0.0382158375565541
3,"4 to 5","kids","Sort1","Same Individual",34,-0.000556511181775309,0.0421390660633617
3,"4 to 5","kids","Sort2","Different Individuals",33,0.029524906327398,0.036902546275506
3,"5 to 6","kids","Sort1","Same Individual",28,0.0833922474664357,0.0527151959933304
3,"5 to 6","kids","Sort2","Different Individuals",28,0.0637756513828213,0.0419957730763475
3,"6 to 7","kids","Sort1","Same Individual",23,0.0866386833621313,0.0612341513587171
3,"6 to 7","kids","Sort2","Different Individuals",23,0.132080233529725,0.050035790094321
3,"adults","adults","Sort1","Same Individual",40,0.202320972377211,0.0277176338928221
3,"adults","adults","Sort2","Different Individuals",40,0.186913419953812,0.0388424158057007
4,"3 to 4","kids","Sort1","Same Individual",21,0.0169972893849105,0.0397782206834847
4,"3 to 4","kids","Sort2","Different Individuals",21,0.000432119998620988,0.037027395072527
4,"4 to 5","kids","Sort1","Same Individual",34,-0.00214530529542689,0.0450581924971159
4,"4 to 5","kids","Sort2","Different Individuals",33,0.02843577684687,0.0309826046518281
4,"5 to 6","kids","Sort1","Same Individual",28,0.0932132388501107,0.045828342924433
4,"5 to 6","kids","Sort2","Different Individuals",28,0.0559326590114389,0.0391816045287056
4,"6 to 7","kids","Sort1","Same Individual",23,0.0735324790939886,0.0491414467814216
4,"6 to 7","kids","Sort2","Different Individuals",23,0.146028965041388,0.053465669264505
4,"adults","adults","Sort1","Same Individual",40,0.180058106641246,0.0244509316573371
4,"adults","adults","Sort2","Different Individuals",40,0.21859821304753,0.0330047084659411
5,"3 to 4","kids","Sort1","Same Individual",21,0.0230144191357621,0.04169602194625
5,"3 to 4","kids","Sort2","Different Individuals",21,-0.0103492259863706,0.0340408543251525
5,"4 to 5","kids","Sort1","Same Individual",34,-0.00248254975368868,0.0355164856419869
5,"4 to 5","kids","Sort2","Different Individuals",33,-0.00713774115798148,0.0410121211307622
5,"5 to 6","kids","Sort1","Same Individual",28,0.0469910619791266,0.0511013693227687
5,"5 to 6","kids","Sort2","Different Individuals",28,0.0553356555403911,0.0404096692515257
5,"6 to 7","kids","Sort1","Same Individual",23,0.0997759512766354,0.0566813381294734
5,"6 to 7","kids","Sort2","Different Individuals",23,0.126781286892965,0.0432764082376127
5,"adults","adults","Sort1","Same Individual",40,0.188664952772217,0.0317136757395383
5,"adults","adults","Sort2","Different Individuals",40,0.197952556024263,0.0314598753516567
6,"3 to 4","kids","Sort1","Same Individual",21,-0.0103146731502756,0.0511367754226594
6,"3 to 4","kids","Sort2","Different Individuals",21,0.0167028887568573,0.0391541011817598
6,"4 to 5","kids","Sort1","Same Individual",34,0.00520932099832133,0.0399281539657997
6,"4 to 5","kids","Sort2","Different Individuals",33,-0.0200287238383726,0.0377288693755488
6,"5 to 6","kids","Sort1","Same Individual",28,0.102770262236817,0.046532090331266
6,"5 to 6","kids","Sort2","Different Individuals",28,0.0455025704975496,0.0425263217832687
6,"6 to 7","kids","Sort1","Same Individual",23,0.0526691025176356,0.0421365941229813
6,"6 to 7","kids","Sort2","Different Individuals",23,0.122749224704205,0.0443073669324017
