participant,seed,sort,image,final_img_pos,posX,posY
144,144,Sort1,M07exc_o,[-500.  -74.],-500.0,-74.0
144,144,Sort1,M07ang_o,[ 215.  -74.],215.0,-74.0
144,144,Sort1,M07disg_c,[ 501.  -74.],501.0,-74.0
144,144,Sort1,M07fear_c,[-214. -223.],-214.0,-223.0
144,144,Sort1,M07calm_o,[-500.  224.],-500.0,224.0
144,144,Sort1,M07surp_c,[  72. -223.],72.0,-223.0
144,144,Sort1,M07calm_c,[ -71. -372.],-71.0,-372.0
144,144,Sort1,M07surp_o,[ -71.  224.],-71.0,224.0
144,144,Sort1,M07exc_c,[ 215.  224.],215.0,224.0
144,144,Sort1,M07sad_o,[-357.  373.],-357.0,373.0
144,144,Sort1,M07ang_c,[ 644. -223.],644.0,-223.0
144,144,Sort1,M07hap_o,[ 501.  224.],501.0,224.0
144,144,Sort1,M07neut_c,[-500. -223.],-500.0,-223.0
144,144,Sort1,M07sad_c,[  72.  373.],72.0,373.0
144,144,Sort1,M07fear_o,[-214.  -74.],-214.0,-74.0
144,144,Sort1,M07hap_c,[ 358.  224.],358.0,224.0
144,144,Sort1,M07neut_o,[-500. -372.],-500.0,-372.0
144,144,Sort1,M07disg_o,[ 358. -223.],358.0,-223.0
