Subj,Word_Category,Order,Word,Exclude
106,Animal,1,tiger,0
106,Animal,2,lion,0
106,Animal,3,zebra,0
106,Animal,4,giraffe,0
106,Emotion,1,NA,NA
107,Animal,1,giraffe,0
107,Animal,2,elephant,0
107,Animal,3,deer,0
107,Animal,4,pig,0
107,Animal,5,dog,0
107,Animal,6,pterodactyl,0
107,Animal,7,dinosaur,0
107,Animal,8,duck,0
107,Animal,9,butterfly,0
107,Animal,10,fish,0
107,Animal,11,kitty,0
107,Animal,12,octopus,0
107,Emotion,1,mad,0
107,Emotion,2,happy,0
107,Emotion,3,angry,0
107,Emotion,4,sad,0
107,Emotion,5,jealous,0
107,Emotion,6,excited,0
107,Emotion,7,sad,0
108,Animal,1,elephant,0
108,Animal,2,giraffe,0
108,Animal,3,crocodile,0
108,Animal,4,lizard,0
108,Animal,5,alligator,0
108,Animal,6,ant,0
108,Animal,7,fish,0
108,Animal,8,spider,0
108,Animal,9,beetle,0
108,Emotion,1,angry,0
108,Emotion,2,sad,0
108,Emotion,3,happy,0
109,Animal,1,zebra,0
109,Animal,2,giraffe,0
109,Animal,3,rhino,0
109,Animal,4,hippo,0
109,Animal,5,lion,0
109,Animal,6,penguin,0
109,Animal,7,waterbuffalo,0
109,Animal,8,kangaroo,0
109,Emotion,1,silly,0
109,Emotion,2,mad,0
109,Emotion,3,scared,0
109,Emotion,4,happy,0
109,Emotion,5,angry,0
109,Emotion,6,sad,0
109,Emotion,7,feelinglikeyouwanttothrowup,0
110,Animal,1,pig,0
110,Animal,2,koala,0
110,Animal,3,zebra,0
110,Animal,4,giraffe,0
110,Animal,5,crocodile,0
110,Animal,6,bear,0
110,Animal,7,alligator,0
110,Animal,8,mouse,0
110,Animal,9,rat,0
110,Animal,10,bunny,0
110,Animal,11,cat,0
110,Animal,12,dog,0
110,Animal,13,lion,0
110,Animal,14,tiger,0
110,Animal,15,monkey,0
110,Animal,16,lemur,0
110,Animal,17,chameleon,0
110,Animal,18,lizard,0
110,Animal,19,gecko,0
110,Animal,20,coyote,0
110,Animal,21,worm,0
110,Animal,22,ant,0
110,Animal,23,beetle,0
110,Animal,24,spider,0
110,Emotion,1,happy,0
110,Emotion,2,surprise,0
110,Emotion,3,yucky,0
110,Emotion,4,sad,0
110,Emotion,5,angry,0
110,Emotion,6,confused,0
110,Emotion,7,surprise,0
111,Animal,1,bird,0
111,Animal,2,bunny,0
111,Animal,3,zebra,0
111,Animal,4,lion,0
111,Animal,5,kangaroo,0
111,Animal,6,dinosaur,0
111,Animal,7,pterodactyl,0
111,Animal,8,penguin,0
111,Animal,9,giraffe,0
111,Animal,10,owl,0
111,Animal,11,hippo,0
111,Animal,12,lion,0
111,Animal,13,snake,0
111,Animal,14,duck,0
111,Emotion,1,sad,0
111,Emotion,2,excited,0
111,Emotion,3,mad,0
111,Emotion,4,crazy,0
112,Animal,1,cat,0
112,Emotion,1,happy,0
112,Emotion,2,sad,0
112,Emotion,3,mad,0
113,Animal,1,lion,0
113,Animal,2,zebra,0
113,Animal,3,camel,0
113,Emotion,1,happy,0
113,Emotion,2,sad,0
113,Emotion,3,angry,0
114,Animal,1,rhino,0
114,Animal,2,giraffe,0
114,Animal,3,zebra,0
114,Animal,4,lion,0
114,Emotion,1,sad,0
114,Emotion,2,happy,0
114,Emotion,3,excited,0
114,Emotion,4,mad,0
114,Emotion,5,sad,0
115,Animal,1,zebra,0
115,Animal,2,giraffe,0
115,Animal,3,snake,0
115,Animal,4,cobra,0
115,Animal,5,giraffe,0
115,Animal,6,ostrich,0
115,Animal,7,tiger,0
115,Animal,8,lion,0
115,Animal,9,hippo,0
115,Animal,10,crane,0
115,Animal,11,sockeyesalmon,0
115,Animal,12,squid,0
115,Animal,13,octopus,0
115,Animal,14,crane,0
115,Animal,15,duck,0
115,Emotion,1,happy,0
115,Emotion,2,sad,0
115,Emotion,3,okay,0
115,Emotion,4,angry,0
115,Emotion,5,upset,0
115,Emotion,6,mad,0
117,Animal,1,giraffe,0
117,Animal,2,hippo,0
117,Animal,3,horse,0
117,Animal,4,chicken,0
117,Animal,5,duck,0
117,Animal,6,flamingo,0
117,Animal,7,giraffe,0
117,Animal,8,hedgehog,0
117,Animal,9,skunk,0
117,Animal,10,badger,0
117,Animal,11,panda,0
117,Animal,12,gorilla,0
117,Animal,13,donkey,0
117,Animal,14,polarbear,0
117,Animal,15,wolf,0
117,Animal,16,dolphin,0
117,Animal,17,shark,0
117,Animal,18,whale,0
117,Animal,19,fish,0
117,Animal,20,walrus,0
117,Animal,21,penguin,0
117,Emotion,1,sad,0
117,Emotion,2,mad,0
117,Emotion,3,angry,0
117,Emotion,4,happy,0
117,Emotion,5,excited,0
117,Emotion,6,scared,0
117,Emotion,7,sad,0
117,Emotion,8,beautiful,1
117,Emotion,9,mad,0
118,Animal,1,tiger,0
118,Animal,2,lion,0
118,Animal,3,monkey,0
118,Animal,4,chihuahua,0
118,Animal,5,ringtailedsloth,0
118,Emotion,1,happy,0
118,Emotion,2,sad,0
118,Emotion,3,mad,0
118,Emotion,4,angry,0
118,Emotion,5,frustrated,0
120,Animal,1,elephant,0
120,Animal,2,zebra,0
120,Animal,3,giraffe,0
120,Animal,4,hippo,0
120,Emotion,1,happy,0
120,Emotion,2,sad,0
120,Emotion,3,exhausted,0
120,Emotion,4,mad,0
121,Animal,1,squirrel,0
121,Animal,2,bird,0
121,Animal,3,chipmunk,0
121,Animal,4,buffalo,0
121,Animal,5,elephant,0
121,Animal,6,wildabeast,0
