"Subj","Word_Category","Order","Word","Exclude","word_fix","temp_combo","duplicate"
107,"Emotion",4,"sad",0,"sad","107 sad",0
107,"Emotion",7,"sad",0,"sad","107 sad",1
110,"Emotion",2,"surprise",0,"surprise","110 surprise",0
110,"Emotion",7,"surprise",0,"surprise","110 surprise",1
111,"Animal",4,"lion",0,"lion","111 lion",0
111,"Animal",12,"lion",0,"lion","111 lion",1
114,"Emotion",1,"sad",0,"sad","114 sad",0
114,"Emotion",5,"sad",0,"sad","114 sad",1
115,"Animal",2,"giraffe",0,"giraffe","115 giraffe",0
115,"Animal",5,"giraffe",0,"giraffe","115 giraffe",1
115,"Animal",10,"crane",0,"crane","115 crane",0
115,"Animal",14,"crane",0,"crane","115 crane",1
117,"Animal",1,"giraffe",0,"giraffe","117 giraffe",0
117,"Animal",7,"giraffe",0,"giraffe","117 giraffe",1
117,"Emotion",1,"sad",0,"sad","117 sad",0
117,"Emotion",2,"mad",0,"mad","117 mad",0
117,"Emotion",7,"sad",0,"sad","117 sad",1
117,"Emotion",9,"mad",0,"mad","117 mad",1
123,"Emotion",1,"sad",0,"sad","123 sad",0
123,"Emotion",4,"sad",0,"sad","123 sad",1
124,"Animal",1,"rhino",0,"rhino","124 rhino",0
124,"Animal",8,"rhino",0,"rhino","124 rhino",1
124,"Emotion",2,"happy",0,"happy","124 happy",0
124,"Emotion",4,"happy",0,"happy","124 happy",1
125,"Emotion",1,"sad",0,"sad","125 sad",0
125,"Emotion",5,"sad",0,"sad","125 sad",1
129,"Emotion",4,"silly",0,"silly","129 silly",0
129,"Emotion",7,"silly",0,"silly","129 silly",1
143,"Emotion",1,"sad",0,"sad","143 sad",0
143,"Emotion",6,"sad",0,"sad","143 sad",1
145,"Animal",3,"sheep",0,"sheep","145 sheep",0
145,"Animal",5,"fox",0,"fox","145 fox",0
145,"Animal",8,"fox",0,"fox","145 fox",1
145,"Animal",11,"llama",0,"llama","145 llama",0
145,"Animal",13,"cow",0,"cow","145 cow",0
145,"Animal",14,"sheep",0,"sheep","145 sheep",1
145,"Animal",18,"cow",0,"cow","145 cow",1
145,"Animal",19,"llama",0,"llama","145 llama",1
145,"Animal",20,"sheep",0,"sheep","145 sheep",1
