Subj,Word_Category,Order,Word,Time,Duplicate_or_Wrong,Notes
106,Animal,1,Tiger,6.9,0,
106,Animal,2,Lion,9.1,0,
106,Animal,3,Zebra,9.4,0,
106,Animal,4,Giraffe,11.8,0,
106,Emotion,999,999,999,999,did not know what it was or want to say
107,Animal,1,Giraffe,6,0,
107,Animal,2,Elephant,12.5,0,
107,Animal,3,Deer,27.3,0,
107,Animal,4,Pig,37.3,0,got very distracted after this one
107,Animal,5,Dog,63.4,0,
107,Animal,6,Tilda?,71.1,0,not sure what animal
107,Animal,7,Dinosaur,74.7,0,
107,Animal,8,Duck,79.3,0,
107,Animal,9,Butterfly,82.2,0,
107,Animal,10,Fish,85.2,0,
107,Animal,11,Kitty,93.2,0,
107,Animal,12,Octopus,97.1,0,
107,Emotion,1,Mad,122,0,
107,Emotion,2,Happy,125.1,0,
107,Emotion,3,Angry,130.3,0,"Bug came in room, distracted child"
107,Emotion,4,Sad,153.6,0,
107,Emotion,5,Jealous,162.3,0,
107,Emotion,6,Excited,170.8,0,
107,Emotion,7,Sad,186.9,1,
108,Animal,1,Elephant,4,0,
108,Animal,2,Giraffe,8,0,
108,Animal,3,Crocodile,10,0,
108,Animal,4,Lizard,16,0,
108,Animal,5,Alligator,27,0,
108,Animal,6,Ant,47,0,
108,Animal,7,Fish,51,0,
108,Animal,8,Spider,54,0,
108,Animal,9,Beetle,68,0,
108,Emotion,1,Angry,4,0,
108,Emotion,2,Sad,8,0,
108,Emotion,3,Happy,11,0,
109,Animal,1,Zebra,28,0,
109,Animal,2,Giraffe,32,0,
109,Animal,3,Rhino,35,0,
109,Animal,4,Hippo,37,0,
109,Animal,5,Lion,40,0,
109,Animal,6,Penguin,48,0,
109,Animal,7,water buffalo,50,0,
109,Animal,8,Kangaroo,55,0,
109,Emotion,1,silly,999,0,audio problem; tina repeats words at end
109,Emotion,2,mad,999,0,audio problem; tina repeats words at end
109,Emotion,3,scary,999,0,audio problem; tina repeats words at end
109,Emotion,4,happy,999,0,audio problem; tina repeats words at end
109,Emotion,5,angry,999,0,audio problem; tina repeats words at end
109,Emotion,6,sad,999,0,audio problem; tina repeats words at end
109,Emotion,7,feeling like you want to throw up,999,0,audio problem; tina repeats words at end
110,Animal,1,Pig,2,0,
110,Animal,2,koala,3,0,
110,Animal,3,Zebra,4,0,
110,Animal,4,Giraffe,5,0,
110,Animal,5,Crocodile,7,0,
110,Animal,6,Bear,22,0,
110,Animal,7,Alligator,23,0,
110,Animal,8,Mouse,27,0,
110,Animal,9,Rat,28,0,
110,Animal,10,Bunny,29,0,
110,Animal,11,Cat,29,0,
110,Animal,12,Dog,30,0,
110,Animal,13,Lion,32,0,
110,Animal,14,Tiger,33,0,
110,Animal,15,Monkey,35,0,
110,Animal,16,Lemur,36,0,
110,Animal,17,Chamelion,38,0,
110,Animal,18,Lizard,40,0,
110,Animal,19,Gecko,43,0,
110,Animal,20,Coyote,52,0,
110,Animal,21,Worm,73,0,
110,Animal,22,Ant,74,0,
110,Animal,23,Beetle,75,0,
110,Animal,24,Spider,76,0,
110,Emotion,1,Happy,4,0,
110,Emotion,2,Surprised,7,0,
110,Emotion,3,Yucky,9,0,
110,Emotion,4,Sad,18,0,
110,Emotion,5,Angry,20,0,
110,Emotion,6,Confused,21,0,
110,Emotion,7,Surprised,22,1,
111,Animal,1,Birdies,6,0,
111,Animal,2,Bunnys,9,0,
111,Animal,3,Zebras,20,0,
111,Animal,4,Lions,20,0,
111,Animal,5,Kangaroos,23,0,
111,Animal,6,Di999saurs ,28,0,
111,Animal,7,Pterodactyls,30,0,
111,Animal,8,Penguins,34,0,
111,Animal,9,Giraffes?,36,0,
111,Animal,10,Owls?,39,0,
111,Animal,11,Hippos ,42,0,
111,Animal,12,Lions,45,1,
111,Animal,13,S999kes,47,0,
111,Animal,14,Ducks,51,0,
111,Emotion,1,Sad,78,0,"Tina does mention that he did say a different emotion word earlier, not sure if we are supposed to count it as well."
111,Emotion,2,Excited,80,0,
111,Emotion,3,Mad,82,0,
111,Emotion,4,Crazy,84,0,
112,Animal,1,Cat,14,0,
112,Emotion,1,Happy,49,0,
112,Emotion,2,Sad,50,0,
112,Emotion,3,Mad,51,0,
113,Animal,1,Lion,5,0,
113,Animal,2,Zebra,7,0,
113,Animal,3,Camel ,32,0,
113,Emotion,1,Happy,90,0,
113,Emotion,2,Sad,91,0,
113,Emotion,3,Angry,92,0,
114,Animal,1,Rhinoceros,7,0,
114,Animal,2,Giraffe,8,0,
114,Animal,3,Zebra,10,0,
114,Animal,4,Lion,13,0,
114,Emotion,1,Sad,45,0,
114,Emotion,2,Happy,46,0,
114,Emotion,3,Excited,48,0,
114,Emotion,4,Mad,52,0,
114,Emotion,5,Sad,55,1,
115,Animal,1,Zebra,3,0,
115,Animal,2,Giraffe,4,0,
115,Animal,3,S999kes,6,0,
115,Animal,4,Cobra,8,0,
115,Animal,5,Giraffe,11,1,
115,Animal,6,Ostrich,15,0,
115,Animal,7,tiger,16,0,
115,Animal,8,lion,17,0,
115,Animal,9,hippo,19,0,
115,Animal,10,crane,22,0,May need to double check what is said here
115,Animal,11,sockeye salmon,25,0,May need to double check what is said here
115,Animal,12,squid,29,0,May need to double check what is said here
115,Animal,13,Octupus,30,0,
115,Animal,14,crane,40,1,May need to double check what is said here
115,Animal,15,duck,43,0,
115,Emotion,1,Happy,58,0,
115,Emotion,2,sad ,60,0,
115,Emotion,3,okay,61,0,May need to double check what is said here
115,Emotion,4,angry,65,0,
115,Emotion,5,upset,74,0,
115,Emotion,6,mad,78,0,
117,Animal,1,giraffe,7,0,
117,Animal,2,Hippopotamus ,9,0,
117,Animal,3,Horses,12,0,
117,Animal,4,Chicken,14,0,
117,Animal,5,Ducks,21,0,
117,Animal,6,flamingos,22,0,
117,Animal,7,giraffes ,25,1,
117,Animal,8,hedgehog,28,0,
117,Animal,9,skunk,31,0,
117,Animal,10,badgers,36,0,
117,Animal,11,pandas,44,0,
117,Animal,12,gorillas,47,0,
117,Animal,13,donkeys,51,0,
117,Animal,14,polar bears,55,0,
117,Animal,15,wolf,58,0,
117,Animal,16,dolphin,59,0,
117,Animal,17,sharks,61,0,
117,Animal,18,whales,66,0,
117,Animal,19,fishes,68,0,
117,Animal,20,walrus,77,0,
117,Animal,21,penguins,87,0,
117,Emotion,1,sad,98,0,
117,Emotion,2,mad,99,0,
117,Emotion,3,angry,101,0,
117,Emotion,4,happy,103,0,
117,Emotion,5,excited,105,0,
117,Emotion,6,scared,111,0,
117,Emotion,7,sad,114,1,
117,Emotion,8,beautiful,123,0,not sure if I count this
117,Emotion,9,mad,128,1,
118,Animal,1,tiger,9,0,
118,Animal,2,lion,10,0,
118,Animal,3,monkey,19,0,
118,Animal,4,chihuahua,52,0,
118,Animal,5,ring tailed sloth,65,0,
118,Emotion,1,happy,88,0,
118,Emotion,2,sad,89,0,
118,Emotion,3,mad,90,0,
118,Emotion,4,angry,91,0,
118,Emotion,5,frustrated,95,0,
119,Animal,1,cat,999,0,may exclude; handwritten - didn't save
119,Animal,2,dog ,999,0,may exclude; handwritten - didn't save
119,Animal,3,fish,999,0,may exclude; handwritten - didn't save
119,Animal,4,baboons,999,0,may exclude; handwritten - didn't save
119,Animal,5,elephant ,999,0,may exclude; handwritten - didn't save
119,Animal,6,giraffe,999,0,may exclude; handwritten - didn't save
119,Emotion,1,sad,999,0,may exclude; handwritten - didn't save
119,Emotion,2,mad,999,0,may exclude; handwritten - didn't save
119,Emotion,3,angry,999,0,may exclude; handwritten - didn't save
119,Emotion,4,annoyed,999,0,may exclude; handwritten - didn't save
120,Animal,1,elephant,4,0,
120,Animal,2,zebra,10,0,
120,Animal,3,giraffe,15,0,
120,Animal,4,Hippopotamus ,28,0,
120,Emotion,1,happy,48,0,
120,Emotion,2,sad,50,0,
120,Emotion,3,exhausted,56,0,
120,Emotion,4,mad,61,0,
121,Animal,1,squirrel,6,0,
121,Animal,2,Bird,7,0,
121,Animal,3,chipmunk,8,0,
121,Animal,4,buffalo,12,0,
121,Animal,5,elephant,13,0,
121,Animal,6,wildabeast,14,0,
121,Animal,7,antelope,16,0,
121,Animal,8,tiger,18,0,
121,Animal,9,lion,19,0,
121,Animal,10,penguin,21,0,
121,Animal,11,bear,22,0,
121,Animal,12,S999ke,28,0,
121,Animal,13,seal,32,0,
121,Animal,14,dolphin,33,0,
121,Animal,15,whale,34,0,
121,Animal,16,sharks,35,0,
121,Animal,17,rhinocerous,42,0,
121,Animal,18,hippo,44,0,
121,Animal,19,cheetah,54,0,
121,Animal,20,cat,59,0,
121,Animal,21,dog,60,0,
121,Animal,22,chicken,62,0,
121,Animal,23,horse ,63,0,
121,Emotion,1,angry,80,0,
121,Emotion,2,happy,81,0,
121,Emotion,3,mad,82,0,
121,Emotion,4,sad,83,0,
121,Emotion,5,frustrated,85,0,
121,Emotion,6,scared,95,0,
121,Emotion,7,surprised,105,0,
122,Animal,1,giraffe,3,0,
122,Animal,2,lion,7,0,
122,Animal,3,elephant,8,0,
122,Emotion,1,sad,21,0,
122,Emotion,2,happy,23,0,
122,Emotion,3,really happy,33,1,
123,Animal,1,cougar,5,0,
123,Animal,2,s999il,7,0,
123,Animal,3,lizard,8,0,
123,Animal,4,igua999,9,0,
123,Animal,5,tiger,11,0,
123,Animal,6,lion,13,0,
123,Animal,7,zebra,14,0,
123,Animal,8,flamingo,16,0,
123,Animal,9,gorilla,18,0,
123,Animal,10,Alligator,22,0,
123,Animal,11,frog,24,0,
123,Animal,12,starfish,28,0,
123,Emotion,1,sad,45,0,
123,Emotion,2,angry,46,0,
123,Emotion,3,surprised,47,0,
123,Emotion,4,sad,48,1,
123,Emotion,5,happy,50,0,
123,Emotion,6,sorry,54,0,not sure if I count this
124,Animal,1,Cat,4,0,
124,Animal,2,tiger,6,0,
124,Animal,3,dragon,7,0,
124,Animal,4,giraffe,9,0,
124,Animal,5,s999il,13,0,
124,Animal,6,cheetah,16,0,
124,Animal,7,rhinocerous,20,0,
124,Animal,8,turtle,24,0,
124,Animal,9,mouse,31,0,
124,Emotion,1,sad,42,0,
124,Emotion,2,happy,44,0,
124,Emotion,3,mad,45,0,
124,Emotion,4,happy,52,1,
125,Animal,1,fox,4,0,
125,Animal,2,kangaroo,5,0,
125,Animal,3,elephant,6,0,
125,Animal,4,tiger,10,0,
125,Animal,5,snow leopard ,11,0,
125,Animal,6,unicorn,13,0,
125,Animal,7,giraffe,19,0,
125,Emotion,1,sad,41,0,
125,Emotion,2,mad,42,0,
125,Emotion,3,angry,43,0,
125,Emotion,4,upset,45,0,
125,Emotion,5,sad,48,1,
125,Emotion,6,frustrated,50,0,
125,Emotion,7,disgust,55,0,
126,Animal,1,Lion,13,0,
126,Animal,2,tiger,19,0,
126,Animal,3,Di999saur ,21,0,
126,Animal,4,elephant,26,0,
126,Animal,5,giraffe,32,0,
126,Animal,6,monkey,45,0,
126,Animal,7,box elder bug,61,0,
126,Emotion,1,sad,98,0,
126,Emotion,2,concentrating,103,0,not sure if we count this
126,Emotion,3,listening,111,0,not sure if we count this
126,Emotion,4,scared,121,0,
126,Emotion,5,emotio999l,125,0,same for this one
126,Emotion,6,calm,135,0,
127,Animal,1,T-rex,4,0,
127,Animal,2,bear,6,0,
127,Animal,3,fox,10,0,
127,Animal,4,dog,12,0,
127,Animal,5,gorilla,21,0,
127,Animal,6,dragon,27,0,
127,Animal,7,stegosaurus,33,0,
127,Animal,8,oxen,40,0,
127,Animal,9,grizzly bear,62,0,not sure if this is counted as a repeat
127,Animal,10,black bear,66,0,same here
127,Animal,11,woolly bear,68,0,
127,Animal,12,woolly mammoth,72,0,
127,Animal,13,woolly rhino,74,0,
127,Emotion,1,Mad,88,0,
