"participant","seed","sort","image","final_img_pos","posX","posY"
"126",26,"Practice","bird","[-357. -223.]",-357,-223
"126",26,"Practice","table","[  72. -223.]",72,-223
"126",26,"Practice","car","[ 358. -223.]",358,-223
"126",26,"Practice","bus","[ 501. -223.]",501,-223
"126",26,"Practice","squirrel","[-214. -223.]",-214,-223
"126",26,"Sort1","M07exc_c","[-357.  -74.]",-357,-74
"126",26,"Sort1","M07neut_c","[-71. -74.]",-71,-74
"126",26,"Sort1","M07disg_o","[ 501.  -74.]",501,-74
"126",26,"Sort1","M07hap_c","[-214.  -74.]",-214,-74
"126",26,"Sort1","M07disg_c","[ 358.  -74.]",358,-74
"126",26,"Sort1","M07neut_o","[ 72. -74.]",72,-74
"126",26,"Sort1","M07sad_c","[  72. -372.]",72,-372
"126",26,"Sort1","M07surp_c","[ 215.  -74.]",215,-74
"126",26,"Sort1","M07hap_o","[-500. -372.]",-500,-372
"126",26,"Sort1","M07ang_c","[ 644. -372.]",644,-372
"126",26,"Sort1","M07fear_c","[-500.  224.]",-500,224
"126",26,"Sort1","M07exc_o","[-214. -372.]",-214,-372
"126",26,"Sort1","M07fear_o","[ -71. -372.]",-71,-372
"126",26,"Sort1","M07ang_o","[ 501. -372.]",501,-372
"126",26,"Sort1","M07calm_o","[-643. -372.]",-643,-372
"126",26,"Sort1","M07calm_c","[ 358. -372.]",358,-372
"126",26,"Sort1","M07surp_o","[ -71. -223.]",-71,-223
"126",26,"Sort1","M07sad_o","[ 215. -372.]",215,-372
"126",26,"Sort2","F10disg_o","[-643.  373.]",-643,373
"126",26,"Sort2","F14surp_c","[ 644.  373.]",644,373
"126",26,"Sort2","M12hap_o","[-643. -372.]",-643,-372
"126",26,"Sort2","M05exc_c","[ 644. -372.]",644,-372
"126",26,"Sort2","F07neut_c","[ 644.  224.]",644,224
"126",26,"Sort2","F01fear_c","[-643.  224.]",-643,224
"126",26,"Sort2","F22sad_c","[ 644.   75.]",644,75
"126",26,"Sort2","M08fear_o","[ 358.  -74.]",358,-74
"126",26,"Sort2","M04disg_c","[-500.  373.]",-500,373
"126",26,"Sort2","F17calm_o","[-357.  373.]",-357,373
"126",26,"Sort2","M02ang_c","[-214.  373.]",-214,373
"126",26,"Sort2","M03calm_c","[ 358.  373.]",358,373
"126",26,"Sort2","F13exc_o","[ -71.  373.]",-71,373
"126",26,"Sort2","F04ang_o","[  72.  373.]",72,373
"126",26,"Sort2","M14neut_o","[ 215.  373.]",215,373
"126",26,"Sort2","F15hap_c","[ 501.  373.]",501,373
"126",26,"Sort2","M15surp_o","[-500.  224.]",-500,224
"126",26,"Sort2","M17sad_o","[-357.  224.]",-357,224
"143",1,"Practice","table","[ 644. -372.]",644,-372
"143",1,"Practice","car","[ 644.  373.]",644,373
"143",1,"Practice","bird","[-357.  224.]",-357,224
"143",1,"Practice","squirrel","[ 501.  224.]",501,224
"143",1,"Practice","bus","[ -71. -372.]",-71,-372
"143",1,"Sort1","M07sad_c","[ 644.  373.]",644,373
"143",1,"Sort1","M07hap_c","[ 644. -372.]",644,-372
"143",1,"Sort1","M07fear_c","[ 644.   75.]",644,75
"143",1,"Sort1","M07neut_c","[ 501.   75.]",501,75
"143",1,"Sort1","M07fear_o","[ -71.  373.]",-71,373
"143",1,"Sort1","M07hap_o","[-71. -74.]",-71,-74
"143",1,"Sort1","M07calm_c","[-500.  -74.]",-500,-74
"143",1,"Sort1","M07sad_o","[-500.  224.]",-500,224
"143",1,"Sort1","M07calm_o","[ 215.  224.]",215,224
"143",1,"Sort1","M07ang_o","[ 215. -372.]",215,-372
"143",1,"Sort1","M07disg_o","[-214. -372.]",-214,-372
"143",1,"Sort1","M07neut_o","[ 358.  -74.]",358,-74
"143",1,"Sort1","M07surp_c","[-500. -372.]",-500,-372
"143",1,"Sort1","M07ang_c","[  72. -372.]",72,-372
"143",1,"Sort1","M07surp_o","[-214.  -74.]",-214,-74
"143",1,"Sort1","M07exc_c","[ 501. -372.]",501,-372
"143",1,"Sort1","M07exc_o","[  72.  373.]",72,373
"143",1,"Sort1","M07disg_c","[  72. -223.]",72,-223
"143",1,"Sort2","F22sad_c","[ 72.  75.]",72,75
"143",1,"Sort2","M05exc_c","[ 501.   75.]",501,75
"143",1,"Sort2","M02ang_c","[-214.   75.]",-214,75
"143",1,"Sort2","F14surp_c","[ 215. -223.]",215,-223
