"Subj","Word_Category","n"
177,"Animal",1
106,"Animal",4
106,"Emotion",0
107,"Animal",12
107,"Emotion",6
108,"Animal",9
108,"Emotion",3
109,"Animal",8
109,"Emotion",7
110,"Animal",24
110,"Emotion",6
111,"Animal",13
111,"Emotion",4
112,"Animal",1
112,"Emotion",3
113,"Animal",3
113,"Emotion",3
114,"Animal",4
114,"Emotion",4
115,"Animal",13
115,"Emotion",6
117,"Animal",20
117,"Emotion",6
118,"Animal",5
118,"Emotion",5
120,"Animal",4
120,"Emotion",4
121,"Animal",23
121,"Emotion",7
122,"Animal",3
122,"Emotion",2
123,"Animal",12
123,"Emotion",5
124,"Animal",9
124,"Emotion",3
125,"Animal",7
125,"Emotion",6
126,"Animal",7
126,"Emotion",4
127,"Animal",13
127,"Emotion",4
128,"Animal",11
128,"Emotion",4
129,"Animal",5
129,"Emotion",6
130,"Animal",9
130,"Emotion",4
131,"Animal",16
131,"Emotion",3
132,"Animal",5
132,"Emotion",3
133,"Animal",4
133,"Emotion",4
134,"Animal",13
134,"Emotion",7
135,"Animal",9
135,"Emotion",0
136,"Animal",10
136,"Emotion",5
137,"Animal",11
137,"Emotion",0
143,"Animal",19
143,"Emotion",5
145,"Animal",16
145,"Emotion",5
146,"Animal",8
146,"Emotion",3
147,"Animal",10
147,"Emotion",5
148,"Animal",11
148,"Emotion",3
149,"Animal",16
149,"Emotion",4
150,"Animal",22
150,"Emotion",5
151,"Animal",6
151,"Emotion",6
152,"Animal",10
152,"Emotion",6
153,"Animal",8
153,"Emotion",4
154,"Animal",5
154,"Emotion",6
155,"Animal",8
155,"Emotion",5
156,"Animal",8
156,"Emotion",5
157,"Animal",5
157,"Emotion",0
158,"Animal",3
158,"Emotion",0
159,"Animal",6
159,"Emotion",4
160,"Animal",2
160,"Emotion",0
162,"Animal",9
162,"Emotion",4
163,"Animal",8
163,"Emotion",0
164,"Animal",5
164,"Emotion",1
165,"Animal",5
165,"Emotion",2
166,"Animal",1
166,"Emotion",0
168,"Animal",6
168,"Emotion",6
169,"Animal",9
169,"Emotion",4
170,"Animal",15
170,"Emotion",8
171,"Animal",5
171,"Emotion",0
172,"Animal",6
172,"Emotion",4
173,"Animal",7
173,"Emotion",3
174,"Animal",8
174,"Emotion",2
175,"Animal",3
175,"Emotion",0
176,"Animal",5
176,"Emotion",0
177,"Animal",1
177,"Emotion",0
178,"Animal",8
178,"Emotion",6
180,"Animal",5
180,"Emotion",4
181,"Animal",4
181,"Emotion",3
182,"Animal",12
182,"Emotion",2
183,"Animal",6
183,"Emotion",4
184,"Animal",11
184,"Emotion",7
185,"Animal",14
185,"Emotion",7
186,"Animal",11
186,"Emotion",4
187,"Animal",9
187,"Emotion",7
188,"Animal",11
188,"Emotion",5
189,"Animal",4
189,"Emotion",3
190,"Animal",4
190,"Emotion",2
191,"Animal",9
191,"Emotion",2
192,"Animal",9
192,"Emotion",6
193,"Animal",11
193,"Emotion",7
194,"Animal",6
194,"Emotion",6
195,"Animal",9
195,"Emotion",4
196,"Animal",21
196,"Emotion",6
197,"Animal",8
197,"Emotion",5
198,"Animal",1
198,"Emotion",4
199,"Animal",5
199,"Emotion",2
300,"Animal",6
300,"Emotion",5
301,"Animal",14
301,"Emotion",9
302,"Animal",11
302,"Emotion",4
303,"Animal",5
303,"Emotion",0
304,"Animal",6
304,"Emotion",5
306,"Animal",9
306,"Emotion",0
307,"Animal",2
307,"Emotion",0
