"Subj","animal_count","emotion_count","vocab_diff"
177,1,0,1
106,4,0,4
107,12,6,6
108,9,3,6
109,8,7,1
110,24,6,18
111,13,4,9
112,1,3,-2
113,3,3,0
114,4,4,0
115,13,6,7
117,20,6,14
118,5,5,0
120,4,4,0
121,23,7,16
122,3,2,1
123,12,5,7
124,9,3,6
125,7,6,1
126,7,4,3
127,13,4,9
128,11,4,7
129,5,6,-1
130,9,4,5
131,16,3,13
132,5,3,2
133,4,4,0
134,13,7,6
135,9,0,9
136,10,5,5
137,11,0,11
143,19,5,14
145,16,5,11
146,8,3,5
147,10,5,5
148,11,3,8
149,16,4,12
150,22,5,17
151,6,6,0
152,10,6,4
153,8,4,4
154,5,6,-1
155,8,5,3
156,8,5,3
157,5,0,5
158,3,0,3
159,6,4,2
160,2,0,2
162,9,4,5
163,8,0,8
164,5,1,4
165,5,2,3
166,1,0,1
168,6,6,0
169,9,4,5
170,15,8,7
171,5,0,5
172,6,4,2
173,7,3,4
174,8,2,6
175,3,0,3
176,5,0,5
177,1,0,1
178,8,6,2
180,5,4,1
181,4,3,1
182,12,2,10
183,6,4,2
184,11,7,4
185,14,7,7
186,11,4,7
187,9,7,2
188,11,5,6
189,4,3,1
190,4,2,2
191,9,2,7
192,9,6,3
193,11,7,4
194,6,6,0
195,9,4,5
196,21,6,15
197,8,5,3
198,1,4,-3
199,5,2,3
300,6,5,1
301,14,9,5
302,11,4,7
303,5,0,5
304,6,5,1
306,9,0,9
307,2,0,2
