participant,seed,sort,image,final_img_pos,posX,posY
subjCode171,171,Sort1,M07ang_c,[ -71.  373.],-71.0,373.0
subjCode171,171,Sort1,M07neut_o,[ 358.  373.],358.0,373.0
subjCode171,171,Sort1,M07sad_o,[ 358.   75.],358.0,75.0
subjCode171,171,Sort1,M07surp_o,[-357.  373.],-357.0,373.0
subjCode171,171,Sort1,M07hap_o,[-357.  224.],-357.0,224.0
subjCode171,171,Sort1,M07surp_c,[-357.  -74.],-357.0,-74.0
subjCode171,171,Sort1,M07ang_o,[ -71.  224.],-71.0,224.0
subjCode171,171,Sort1,M07fear_o,[ 358.  -74.],358.0,-74.0
subjCode171,171,Sort1,M07disg_c,[-71.  75.],-71.0,75.0
subjCode171,171,Sort1,M07calm_c,[-357.   75.],-357.0,75.0
subjCode171,171,Sort1,M07fear_c,[ 358. -223.],358.0,-223.0
subjCode171,171,Sort1,M07exc_c,[-357. -223.],-357.0,-223.0
subjCode171,171,Sort1,M07sad_c,[ 358. -372.],358.0,-372.0
subjCode171,171,Sort1,M07disg_o,[ 215. -223.],215.0,-223.0
subjCode171,171,Sort1,M07neut_c,[ 358.  224.],358.0,224.0
subjCode171,171,Sort1,M07hap_c,[-357. -372.],-357.0,-372.0
subjCode171,171,Sort1,M07calm_o,[-214. -372.],-214.0,-372.0
subjCode171,171,Sort1,M07exc_o,[ 215. -372.],215.0,-372.0
