participant,seed,sort,image,final_img_pos,posX,posY
236,136,Sort2,M03calm_c,[-71. -74.],-71.0,-74.0
236,136,Sort2,M04disg_c,[ 501.  224.],501.0,224.0
236,136,Sort2,F15hap_c,[-357.   75.],-357.0,75.0
236,136,Sort2,F07neut_c,[ -71. -223.],-71.0,-223.0
236,136,Sort2,M15surp_o,[ 501. -223.],501.0,-223.0
236,136,Sort2,M17sad_o,[ 215. -223.],215.0,-223.0
236,136,Sort2,F10disg_o,[ 358.  224.],358.0,224.0
236,136,Sort2,M02ang_c,[ 215.  224.],215.0,224.0
236,136,Sort2,M05exc_c,[-500.   75.],-500.0,75.0
236,136,Sort2,M14neut_o,[-214. -223.],-214.0,-223.0
236,136,Sort2,F04ang_o,[ 358.   75.],358.0,75.0
236,136,Sort2,F01fear_c,[-71.  75.],-71.0,75.0
236,136,Sort2,F14surp_c,[ 501. -372.],501.0,-372.0
236,136,Sort2,M08fear_o,[ 644. -223.],644.0,-223.0
236,136,Sort2,F22sad_c,[ 215. -372.],215.0,-372.0
236,136,Sort2,F17calm_o,[-500.  -74.],-500.0,-74.0
236,136,Sort2,M12hap_o,[-357.  224.],-357.0,224.0
236,136,Sort2,F13exc_o,[-500.  224.],-500.0,224.0
