"participant","seed","sort","image","final_img_pos","posX","posY"
"201",1,"Practice","table","[ 215.  224.]",215,224
"201",1,"Practice","car","[-357.  -74.]",-357,-74
"201",1,"Practice","bird","[ 358. -223.]",358,-223
"201",1,"Practice","squirrel","[ 215. -372.]",215,-372
"201",1,"Practice","bus","[-500.   75.]",-500,75
"201",1,"Sort1","M07sad_c","[ 215.  224.]",215,224
"201",1,"Sort1","M07hap_c","[-500. -223.]",-500,-223
"201",1,"Sort1","M07fear_c","[ 358. -223.]",358,-223
"201",1,"Sort1","M07neut_c","[-500.  224.]",-500,224
"201",1,"Sort1","M07fear_o","[ 501. -223.]",501,-223
"201",1,"Sort1","M07hap_o","[-357. -223.]",-357,-223
"201",1,"Sort1","M07calm_c","[-500.  373.]",-500,373
"201",1,"Sort1","M07sad_o","[ 358.  224.]",358,224
"201",1,"Sort1","M07calm_o","[-357. -372.]",-357,-372
"201",1,"Sort1","M07ang_o","[ 358.  373.]",358,373
"201",1,"Sort1","M07disg_o","[ 215.   75.]",215,75
"201",1,"Sort1","M07neut_o","[-357.  224.]",-357,224
"201",1,"Sort1","M07surp_c","[ 358. -372.]",358,-372
"201",1,"Sort1","M07ang_c","[ 72.  75.]",72,75
"201",1,"Sort1","M07surp_o","[-500. -372.]",-500,-372
"201",1,"Sort1","M07exc_c","[-643. -223.]",-643,-223
"201",1,"Sort1","M07exc_o","[-357.  373.]",-357,373
"201",1,"Sort1","M07disg_c","[ 215.  373.]",215,373
"201",1,"Sort2","F22sad_c","[ -71.  224.]",-71,224
"201",1,"Sort2","M05exc_c","[-500. -223.]",-500,-223
"201",1,"Sort2","M02ang_c","[ 358.  224.]",358,224
"201",1,"Sort2","F14surp_c","[ 358. -223.]",358,-223
"201",1,"Sort2","F13exc_o","[-643. -223.]",-643,-223
"201",1,"Sort2","M04disg_c","[ 215.  224.]",215,224
"201",1,"Sort2","F15hap_c","[-500.  -74.]",-500,-74
"201",1,"Sort2","M17sad_o","[-214.  224.]",-214,224
"201",1,"Sort2","M14neut_o","[ -71.  373.]",-71,373
"201",1,"Sort2","F04ang_o","[ 358.  373.]",358,373
"201",1,"Sort2","M12hap_o","[-357. -223.]",-357,-223
"201",1,"Sort2","F01fear_c","[ 215. -223.]",215,-223
"201",1,"Sort2","M08fear_o","[ 358.  -74.]",358,-74
